BN,Starter,Synthesizer,Augmentation,Dataset,Column Shapes,Column Pair Trends,Average,KL improvement,Logical
Asia,100,TVAE,2,Asia-100-TVAE-2,97.21,95.38,96.295,-0.176804619,0
Asia,100,TVAE,5,Asia-100-TVAE-5,96.33,93.79,95.06,-0.374632331,0
Asia,100,TVAE,10,Asia-100-TVAE-10,96.09,93.55,94.82,-0.459526071,0
Asia,100,TVAE,20,Asia-100-TVAE-20,95.92,93.11,94.515,-0.630147288,0
Asia,100,CTGAN,2,Asia-100-CTGAN-2,94.62,89.51,92.065,-2.450397779,0
Asia,100,CTGAN,5,Asia-100-CTGAN-5,92.83,86.42,89.625,-5.686668227,0
Asia,100,CTGAN,10,Asia-100-CTGAN-10,91.7,84.4,88.05,-6.832489662,0
Asia,100,CTGAN,20,Asia-100-CTGAN-20,91.52,84.02,87.77,-7.111868575,0
Asia,100,Mostly,2,Asia-100-Mostly-2,97.58,95.14,96.36,-0.170958337,0
Asia,100,Mostly,5,Asia-100-Mostly-5,97.73,95.14,96.435,-0.877920875,0
Asia,100,Mostly,10,Asia-100-Mostly-10,98,95.42,96.71,-1.447920254,0
Asia,100,Mostly,20,Asia-100-Mostly-20,97.9,94.92,96.41,-2.512999778,0
Asia,500,TVAE,2,Asia-500-TVAE-2,96.32,94.57,95.445,-6.309126366,0
Asia,500,TVAE,5,Asia-500-TVAE-5,95.55,93.49,94.52,-8.297717855,0
Asia,500,TVAE,10,Asia-500-TVAE-10,94.82,92.38,93.6,-8.127846829,0
Asia,500,TVAE,20,Asia-500-TVAE-20,94.4,91.7,93.05,-7.939609554,0
Asia,500,CTGAN,2,Asia-500-CTGAN-2,94.92,90.19,92.555,-6.309126366,0
Asia,500,CTGAN,5,Asia-500-CTGAN-5,93.87,88.18,91.025,-8.297717855,0
Asia,500,CTGAN,10,Asia-500-CTGAN-10,92.97,86.61,89.79,-8.127846829,0
Asia,500,CTGAN,20,Asia-500-CTGAN-20,92.72,86.16,89.44,-7.939609554,0
Asia,500,Mostly,2,Asia-500-Mostly-2,99.22,98.69,98.955,0.681366035,1
Asia,500,Mostly,5,Asia-500-Mostly-5,99.26,98.78,99.02,0.817833345,1
Asia,500,Mostly,10,Asia-500-Mostly-10,99.4,98.89,99.145,0.768642982,1
Asia,500,Mostly,20,Asia-500-Mostly-20,99.45,98.99,99.22,0.798339786,1
Asia,1000,TVAE,2,Asia-1000-TVAE-2,97.93,96.75,97.34,-0.093574207,0
Asia,1000,TVAE,5,Asia-1000-TVAE-5,97.43,95.93,96.68,-0.189729829,0
Asia,1000,TVAE,10,Asia-1000-TVAE-10,96.97,95.25,96.11,-0.251419025,0
Asia,1000,TVAE,20,Asia-1000-TVAE-20,96.78,94.98,95.88,-0.492184611,0
Asia,1000,CTGAN,2,Asia-1000-CTGAN-2,95.72,92.19,93.955,-2.351457008,0
Asia,1000,CTGAN,5,Asia-1000-CTGAN-5,94.84,90.56,92.7,-2.637860751,0
Asia,1000,CTGAN,10,Asia-1000-CTGAN-10,94.36,89.65,92.005,-2.992881589,0
Asia,1000,CTGAN,20,Asia-1000-CTGAN-20,94,89.08,91.54,-3.2288474,0
Asia,1000,Mostly,2,Asia-1000-Mostly-2,99.49,99.06,99.275,0.678640473,1
Asia,1000,Mostly,5,Asia-1000-Mostly-5,99.36,98.85,99.105,0.748477528,1
Asia,1000,Mostly,10,Asia-1000-Mostly-10,99.39,98.86,99.125,0.713462556,1
Asia,1000,Mostly,20,Asia-1000-Mostly-20,99.29,98.68,98.985,0.680050944,1
Benchmark,100,TVAE,2,Benchmark-100-TVAE-2,90.63,83.85,87.24,-0.306099399,0
Benchmark,100,TVAE,5,Benchmark-100-TVAE-5,88.67,80.91,84.79,-0.504227814,0
Benchmark,100,TVAE,10,Benchmark-100-TVAE-10,87.57,78.87,83.22,-0.747866547,0
Benchmark,100,TVAE,20,Benchmark-100-TVAE-20,87.32,77.87,82.595,-1.024252551,0
Benchmark,100,CTGAN,2,Benchmark-100-CTGAN-2,96.44,91.73,94.085,0.087599989,1
Benchmark,100,CTGAN,5,Benchmark-100-CTGAN-5,95.24,89.28,92.26,0.078941051,1
Benchmark,100,CTGAN,10,Benchmark-100-CTGAN-10,95.08,88.94,92.01,-0.192371908,0
Benchmark,100,CTGAN,20,Benchmark-100-CTGAN-20,94.93,88.48,91.705,-0.092345561,0
Benchmark,100,Mostly,2,Benchmark-100-Mostly-2,98.11,96.23,97.17,0.302808629,1
Benchmark,100,Mostly,5,Benchmark-100-Mostly-5,97.69,94.65,96.17,0.530436997,1
Benchmark,100,Mostly,10,Benchmark-100-Mostly-10,97.93,94.48,96.205,0.587302575,1
Benchmark,100,Mostly,20,Benchmark-100-Mostly-20,97.88,94.46,96.17,0.629817029,1
Benchmark,500,TVAE,2,Benchmark-500-TVAE-2,92.71,88.01,90.36,-1.33353907,0
Benchmark,500,TVAE,5,Benchmark-500-TVAE-5,90.73,84.92,87.825,-2.330125371,0
Benchmark,500,TVAE,10,Benchmark-500-TVAE-10,89.76,83.43,86.595,-3.414515306,0
Benchmark,500,TVAE,20,Benchmark-500-TVAE-20,89.27,82.69,85.98,-4.77843918,0
Benchmark,500,CTGAN,2,Benchmark-500-CTGAN-2,94.54,91,92.77,-3.315273441,0
Benchmark,500,CTGAN,5,Benchmark-500-CTGAN-5,93.25,88.86,91.055,-5.973503126,0
Benchmark,500,CTGAN,10,Benchmark-500-CTGAN-10,92.66,87.86,90.26,-6.874233401,0
Benchmark,500,CTGAN,20,Benchmark-500-CTGAN-20,92.41,87.3,89.855,-7.797251494,0
Benchmark,500,Mostly,2,Benchmark-500-Mostly-2,97.92,96.81,97.365,0.22268687,1
Benchmark,500,Mostly,5,Benchmark-500-Mostly-5,98.26,97.22,97.74,0.30365616,1
Benchmark,500,Mostly,10,Benchmark-500-Mostly-10,98.43,97.37,97.9,0.233119997,1
Benchmark,500,Mostly,20,Benchmark-500-Mostly-20,98.5,97.46,97.98,0.07701537,1
Benchmark,1000,TVAE,2,Benchmark-1000-TVAE-2,96.55,94.15,95.35,-0.353054863,0
Benchmark,1000,TVAE,5,Benchmark-1000-TVAE-5,95.71,92.86,94.285,-1.041280704,0
Benchmark,1000,TVAE,10,Benchmark-1000-TVAE-10,95.47,92.32,93.895,-1.388988089,0
Benchmark,1000,TVAE,20,Benchmark-1000-TVAE-20,95.3,91.82,93.56,-1.855584328,0
Benchmark,1000,CTGAN,2,Benchmark-1000-CTGAN-2,93.05,89.8,91.425,-2.71897494,0
Benchmark,1000,CTGAN,5,Benchmark-1000-CTGAN-5,91.26,87.46,89.36,-4.12266119,0
Benchmark,1000,CTGAN,10,Benchmark-1000-CTGAN-10,90.2,85.98,88.09,-4.62848019,0
Benchmark,1000,CTGAN,20,Benchmark-1000-CTGAN-20,89.88,85.44,87.66,-5.073419965,0
Benchmark,1000,Mostly,2,Benchmark-1000-Mostly-2,98.97,98.02,98.495,0.254271524,1
Benchmark,1000,Mostly,5,Benchmark-1000-Mostly-5,99.29,98.26,98.775,0.354365038,1
Benchmark,1000,Mostly,10,Benchmark-1000-Mostly-10,99.08,98.08,98.58,0.22890352,1
Benchmark,1000,Mostly,20,Benchmark-1000-Mostly-20,99.14,97.98,98.56,0.19115674,1
Sports,100,TVAE,2,Sports-100-TVAE-2,89.83,82.13,85.98,0.05098145,1
Sports,100,TVAE,5,Sports-100-TVAE-5,87.45,77.53,82.49,0.046804969,1
Sports,100,TVAE,10,Sports-100-TVAE-10,85.99,75.38,80.685,-0.027972935,0
Sports,100,TVAE,20,Sports-100-TVAE-20,85.32,74.37,79.845,-0.032697107,0
Sports,100,CTGAN,2,Sports-100-CTGAN-2,96.29,84.74,90.515,-0.089577861,0
Sports,100,CTGAN,5,Sports-100-CTGAN-5,95.86,82.18,89.02,0.152242235,1
Sports,100,CTGAN,10,Sports-100-CTGAN-10,94.78,81.09,87.935,0.350464429,1
Sports,100,CTGAN,20,Sports-100-CTGAN-20,95.12,80.47,87.795,0.461618725,1
Sports,100,Mostly,2,Sports-100-Mostly-2,96.64,87.97,92.305,-0.057613725,0
Sports,100,Mostly,5,Sports-100-Mostly-5,96.64,86.57,91.605,0.161452467,1
Sports,100,Mostly,10,Sports-100-Mostly-10,96.31,86.29,91.3,0.349994216,1
Sports,100,Mostly,20,Sports-100-Mostly-20,96.66,85.89,91.275,0.496749786,1
Sports,500,TVAE,2,Sports-500-TVAE-2,76.26,62.15,69.205,-0.09631757,0
Sports,500,TVAE,5,Sports-500-TVAE-5,70.62,52.93,61.775,-0.171950341,0
Sports,500,TVAE,10,Sports-500-TVAE-10,67.68,48.58,58.13,-0.230121577,0
Sports,500,TVAE,20,Sports-500-TVAE-20,66.33,46.2,56.265,-0.296334161,0
Sports,500,CTGAN,2,Sports-500-CTGAN-2,96.83,87.88,92.355,0.145698626,1
Sports,500,CTGAN,5,Sports-500-CTGAN-5,96.27,85.35,90.81,0.226186846,1
Sports,500,CTGAN,10,Sports-500-CTGAN-10,95.91,84.35,90.13,0.204605242,1
Sports,500,CTGAN,20,Sports-500-CTGAN-20,95.94,83.7,89.82,0.202880387,1
Sports,500,Mostly,2,Sports-500-Mostly-2,97.98,95.04,96.51,0.158007793,1
Sports,500,Mostly,5,Sports-500-Mostly-5,97.43,94.36,95.895,0.375216653,1
Sports,500,Mostly,10,Sports-500-Mostly-10,97.76,94.49,96.125,0.490768592,1
Sports,500,Mostly,20,Sports-500-Mostly-20,97.42,94.18,95.8,0.522392989,1
Sports,1000,TVAE,2,Sports-1000-TVAE-2,82.15,69.83,75.99,-0.207309583,0
Sports,1000,TVAE,5,Sports-1000-TVAE-5,77.59,62.05,69.82,-0.363155965,0
Sports,1000,TVAE,10,Sports-1000-TVAE-10,75.82,58.78,67.3,-0.509261595,0
Sports,1000,TVAE,20,Sports-1000-TVAE-20,74.65,56.72,65.685,-0.702347351,0
Sports,1000,CTGAN,2,Sports-1000-CTGAN-2,93.41,86.58,89.995,-0.139397194,0
Sports,1000,CTGAN,5,Sports-1000-CTGAN-5,91.43,83.01,87.22,-0.166988738,0
Sports,1000,CTGAN,10,Sports-1000-CTGAN-10,90.77,81.77,86.27,-0.240723983,0
Sports,1000,CTGAN,20,Sports-1000-CTGAN-20,90.37,80.91,85.64,-0.340063673,0
Sports,1000,Mostly,2,Sports-1000-Mostly-2,98.66,96.62,97.64,0.090075336,1
Sports,1000,Mostly,5,Sports-1000-Mostly-5,98.23,96.13,97.18,0.249096864,1
Sports,1000,Mostly,10,Sports-1000-Mostly-10,98.17,96.05,97.11,0.345547948,1
Sports,1000,Mostly,20,Sports-1000-Mostly-20,98.28,96.12,97.2,0.306323231,1